"GEN","Nsamp","rep","FIT","conv","rmse_p","theta_hat","p1_hat","p2_hat","p3_hat"
"MN",25,19,"MN",TRUE,0.0565685424949238,NA,0.24,0.22,0.54
"MN",25,19,"DM",TRUE,0.0565683087537242,22752.0138515174,0.240000257110997,0.220000330561461,0.539999412327541
"DMstrong",25,19,"MN",TRUE,0.090921211313239,NA,0.22,0.18,0.6
"DMstrong",25,19,"DM",FALSE,0.090934402417082,7522.20062537409,0.219972538653834,0.179993634376004,0.600033826970162
"MN",125,19,"MN",TRUE,0.00565685424949239,NA,0.192,0.304,0.504
"MN",125,19,"DM",TRUE,0.00593494121141421,4.34480439340402,0.191612137525896,0.303932946350417,0.504454916123687
"DMstrong",125,19,"MN",TRUE,0.10476640682967,NA,0.28,0.152,0.568
"DMstrong",125,19,"DM",TRUE,0.100913587833623,0.151104920445631,0.284189741571673,0.158108366367102,0.557701892061224
"MN",250,19,"MN",TRUE,0.0172046505340853,NA,0.22,0.302,0.478
"MN",250,19,"DM",TRUE,0.0172053119754315,3681.06633665096,0.219999386517508,0.302002495893662,0.47799811758883
"DMstrong",250,19,"MN",TRUE,0.102800778207171,NA,0.102,0.442,0.456
"DMstrong",250,19,"DM",TRUE,0.0962766011227869,0.0564174314487323,0.126268354575196,0.435994573500695,0.437737071924109
"MN",25,20,"MN",TRUE,0.12328828005938,NA,0.18,0.46,0.36
"MN",25,20,"DM",TRUE,0.12327538119381,10475.2024021999,0.179983275028357,0.459990786302001,0.360025938669642
"DMstrong",25,20,"MN",TRUE,0.0711805216802087,NA,0.14,0.4,0.46
"DMstrong",25,20,"DM",TRUE,0.100765692041999,0.0567154805968863,0.339623207404243,0.205498175467191,0.454878617128566
"MN",125,20,"MN",TRUE,0.0142361043360417,NA,0.22,0.292,0.488
"MN",125,20,"DM",TRUE,0.0142335490712472,10464.8178847792,0.219996611303957,0.291999826229115,0.488003562466927
"DMstrong",125,20,"MN",TRUE,0.115562392960109,NA,0.328,0.324,0.348
"DMstrong",125,20,"DM",TRUE,0.12944135688017,0.0972676492069428,0.354688745799251,0.307426738033052,0.337884516167697
"MN",250,20,"MN",TRUE,0.0146969384566991,NA,0.182,0.318,0.5
"MN",250,20,"DM",TRUE,0.0147578363744856,18.3037457152125,0.181924402472286,0.318073571126872,0.500002026400842
"DMstrong",250,20,"MN",TRUE,0.100810052408808,NA,0.26,0.158,0.582
"DMstrong",250,20,"DM",TRUE,0.089535505650278,0.0690827558258006,0.238695778174651,0.176240005667784,0.585064216157565
"MN",25,21,"MN",TRUE,0,NA,0.2,0.3,0.5
"MN",25,21,"DM",FALSE,1.16542556010137e-05,16947.0447059598,0.199988851052113,0.300016086763474,0.499995062184413
"DMstrong",25,21,"MN",TRUE,0.0848528137423857,NA,0.08,0.36,0.56
"DMstrong",25,21,"DM",TRUE,0.0848396065458083,9343.0436119317,0.0800186900315857,0.359943729843941,0.560037580124474
"MN",125,21,"MN",TRUE,0.0142361043360417,NA,0.22,0.288,0.492
"MN",125,21,"DM",TRUE,0.0142355527617158,10935.4555747541,0.219998558097657,0.287995802210085,0.492005639692258
"DMstrong",125,21,"MN",TRUE,0.114821600755259,NA,0.04,0.404,0.556
"DMstrong",125,21,"DM",TRUE,0.0633841686705816,0.0377846593387244,0.112267565935444,0.359790860416741,0.527941573647815
"MN",250,21,"MN",TRUE,0.0197989898732233,NA,0.228,0.286,0.486
"MN",250,21,"DM",TRUE,0.0197990797524023,14711.5148229961,0.22800012710803,0.286000053136212,0.485999819755758
"DMstrong",250,21,"MN",TRUE,0.134887607535558,NA,0.322,0.112,0.566
"DMstrong",250,21,"DM",TRUE,0.119003296994523,0.0517617569858286,0.313388054455621,0.135602496164297,0.551009449380082
"MN",25,22,"MN",TRUE,0.0163299316185545,NA,0.2,0.28,0.52
"MN",25,22,"DM",TRUE,0.0163339056015529,20501.114686286,0.200002762643219,0.279993751706163,0.520003485650618
"DMstrong",25,22,"MN",TRUE,0.220907220343745,NA,0.18,0.58,0.24
"DMstrong",25,22,"DM",TRUE,0.220911372545201,15452.4042455202,0.180003725047783,0.580003440240208,0.239992834712009
"MN",125,22,"MN",TRUE,0.0566627449623354,NA,0.156,0.38,0.464
